TMK13,Bedrooms
2210060830000,1.0
2210060850000,4.0
2210060850000,
2210060860000,4.0
2210060870000,4.0
2210060880000,3.0
2210060900000,3.0
2210060900000,2.0
2210060940000,2.0
2210060940000,1.0
2210060960000,2.0
2210060970000,1.0
2210061010000,6.0
2210061040000,3.0
2210061040000,1.0
2210061070000,4.0
2210061070000,2.0
2210061080000,5.0
2210061090000,4.0
2210061100000,4.0
2210070030000,1.0
2210070060001,2.0
2210070060002,1.0
2210070070000,4.0
2210070070000,2.0
2210070080000,2.0
2210070080000,2.0
2210070090000,5.0
2210070120000,2.0
2210070610000,2.0
2210070620000,2.0
2210070620000,1.0
2210070660001,4.0
2210070660002,4.0
2210070660003,4.0
2210070660004,4.0
2210070670000,1.0
2210070690000,1.0
2210070690000,1.0
2210070710000,4.0
2210070710000,1.0
2210070740000,6.0
2210070750000,2.0
2210070760000,3.0
2210070790000,2.0
2210070790000,1.0
2210070850000,3.0
2210070860000,3.0
2210070870000,3.0
2210070880000,4.0
2210070890000,3.0
2210070900000,3.0
2210070900000,1.0
2210070910000,1.0
2210070950001,2.0
2210070950002,2.0
2210070950003,2.0
2210070950004,2.0
2210070950005,2.0
2210070950006,2.0
2210070950007,2.0
2210070950008,2.0
2210070950009,2.0
2210070950010,2.0
2210070950011,2.0
2210070950012,2.0
2210070950013,2.0
2210070950014,2.0
2210070950015,2.0
2210070950016,2.0
2210070950017,3.0
2210070950018,2.0
2210070950019,2.0
2210070950020,2.0
2210070950021,2.0
2210070950022,3.0
2210070950023,2.0
2210070950024,2.0
2210070950025,2.0
2210070950026,2.0
2210070950027,2.0
2210070950028,2.0
2210070950029,2.0
2210070950030,2.0
2210070950031,2.0
2210070950032,2.0
2210070950033,2.0
2210070950034,2.0
2210070950035,3.0
2210070950036,2.0
2210070950037,2.0
2210070950038,3.0
2210070950039,2.0
2210070950040,2.0
2210070950041,2.0
2210070950042,2.0
2210070950043,2.0
2210070950044,2.0
2210070950045,2.0
2210070950046,2.0
2210070950047,2.0
2210070950048,2.0
2210070950049,2.0
2210070950050,2.0
2210070950051,2.0
2210070950052,2.0
2210070950053,2.0
2210070950054,2.0
2210070950055,2.0
2210070950056,2.0
2210070950057,2.0
2210070950058,2.0
2210070950059,2.0
2210070950060,2.0
2210070950061,2.0
2210070950062,2.0
2210070950063,3.0
2210070950064,3.0
2210070950065,3.0
2210070950066,2.0
2210070950067,2.0
2210070950068,2.0
2210070950069,2.0
2210070950070,3.0
2210070950071,2.0
2210070950072,2.0
2210070950073,2.0
2210070950074,2.0
2210070950075,2.0
2210070950076,2.0
2210070950077,2.0
2210070950078,2.0
2210070950079,2.0
2210070950080,2.0
2210070950081,2.0
2210070950082,2.0
2210070950083,4.0
2210070950085,2.0
2210070950086,3.0
2210070950087,2.0
2210070950088,2.0
2210070950089,3.0
